Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Minecraft Xbox 360 Edition,Sandbox,4J Studios,Microsoft Studios,9 de maio de 2012,9 de maio de 2012,9 de maio de 2012,22 de novembro de 2013
Minecraft: Story Mode,Aventura,Telltale Games,Microsoft Studios,27 de outubro de 2015,27 de outubro de 2015,Não lançado,22 de novembro de 2013
Minecraft: Story Mode Season Two,Aventura,Telltale Games,Microsoft Studios,19 de setembro de 2017,19 de setembro de 2017,Não lançado,Não lançado
Minecraft: Story Mode -Episode 1: The Order of the Stone,Ação & Aventura,Telltale Games,Telltale Games,14 de outubro de 2015,-,-,-
Minecraft: Xbox 360 Edition,Estratégia & Simulação,4J Studios/Mojang,Microsoft Studios,9 de maio de 2012,-,-,-
Minesweeper Flags,Puzzle & Trivia,TikGames,Microsoft Studios,11 de fevereiro de 2009,-,-,-
Mini Ninjas,Ação & Aventura,IO Interactive,Eidos Interactive,8 de setembro de 2009,11 de setembro de 2009,Não lançado,22 de novembro de 2013
Mini Ninjas Adventures,Kinect,Side Kick LTD,Square Enix,29 de junho de 2012,-,-,-
Minute To Win It,-,-,IndiePub,18 de outubro de 2011,TBA,TBA,TBA
Mirror's Edge,"Ação & Aventura, Plataforma,",Digital Illusions CE,Electronic Arts,12 de novembro de 2008,14 de novembro de 2008,11 de dezembro de 2008,22 de novembro de 2013
"Misadventures of P.B. Winterbottom, TheThe Misadventures of P.B. Winterbottom",Puzzle & Trivia,The Odd Gentlemen,2K Play,17 de fevereiro de 2010,-,-,-
Missile Command,Clássico,Stainless Games/Atari,Atari,4 de julho de 2007,-,-,-
MLB Bobblehead Battle,Esportes & Recreação,Konami,Konami,28 de setembro de 2011,-,-,-
MLB Bobblehead Pros,Esportes & Recreação,Konami,Konami,6 de julho de 2011,-,-,-
MLB Front Office Manager,Gestão desportiva,Blue Castle Games,2k Sports,26 de janeiro de 2009,26 de janeiro de 2009,Não lançado,22 de novembro de 2013
MLB Stickball,Esportes & Recreação,Gaia Industries,2K Sports,8 de outubro de 2008,-,-,-
Mobile Ops: The One Year War[nota 27],"Combate veicular, Tiro em primeira pessoa, Tiro em terceira pessoa",Dimps,Namco Bandai Games,Não lançado,Não lançado,26 de junho de 2008,22 de novembro de 2013
Monaco: What's Yours Is Mine,Ação & Aventura,Pocketwatch Games,Majesco Entertainment,10 de maio de 2013,-,-,-
Monday Night Combat,Tiro,Uber Entertainment,Microsoft Studios,11 de agosto de 2010,-,-,-
Monkey Island 2: LeChuck's Revenge: Special Edition,Clássico,LucasArts,Disney Interactive Studios,7 de julho de 2010,-,-,-
Monopoly,Jogo de tabuleiro,EA Bright Light,Electronic Arts,22 de outubro de 2008,24 de outubro de 2008,Não lançado,22 de novembro de 2013
Monopoly Deal,Cartas,Asobo Studio,Ubisoft,14 de janeiro de 2015,-,-,-
Monopoly Plus,Cartas,Asobo Studio,Ubisoft,14 de janeiro de 2015,-,-,-
Monopoly Streets,Jogo de tabuleiro,Electronic Arts,Electronic Arts,26 de outubro de 2010,12 de novembro de 2010,Não lançado,22 de novembro de 2013
Monster High: New Ghoul in School,Aventura,Little Orbit,Little Orbit,27 de outubro de 2015,27 de outubro de 2015,Não lançado,22 de novembro de 2013
Monster Hunter Frontier,RPG de ação,Capcom,Microsoft Game Studios,Não lançado,Não lançado,24 de junho de 2010,22 de novembro de 2013
Monster Jam,Corrida,Torus Games,Activision,13 de novembro de 2007,30 de maio de 2008,Não lançado,22 de novembro de 2013
Monster Jam Battlegrounds,Corrida & Voo,Team6 Game Studios,GameMill Entertainment,10 de junho de 2015,-,-,-
Monster Jam: Path of Destruction,Corrida,Virtuos,Activision,9 de novembro de 2010,9 de novembro de 2010,Não lançado,22 de novembro de 2013
Monster Madness: Battle for Suburbia,"Shoot 'em up, Ação e aventura",Artificial Studios,SouthPeak Games,12 de junho de 2007,22 de junho de 2007,Não lançado,22 de novembro de 2013
Monsters vs. Aliens,"Ação & Aventura, Plataforma",Activision,Activision,27 de março de 2009,2 de abril de 2009,3 de abril de 2009,22 de novembro de 2013
Moon Diver,Ação & Aventura,Feelplus,Square Enix,4 de maio de 2011,-,-,-
MorphX,"Ação & Aventura, Tiro em terceira pessoa","Buka Entertainment, Targem Games",505 Games,28 de setembro de 2010,24 de setembro de 2010,Não lançado,22 de novembro de 2013
Mortal Kombat,Luta,NetherRealm Studios,Warner Bros. Interactive Entertainment,19 de abril de 2011,21 de abril de 2011,Não lançado,22 de novembro de 2013
"Mortal Kombat Arcade Kollection(Mortal Kombat, MK II, & Ultimate MK 3)",Clássico,Other Ocean Interactive/NetherRealm Studios,Warner Bros. Interactive Entertainment,31 de agosto de 2011,-,-,-
Mortal Kombat vs. DC Universe,Luta,Midway Games,Midway Games,16 de novembro de 2008,21 de novembro de 2008,Não lançado,22 de novembro de 2013
Motion Explosion,-,Majesco,Majesco,1 de novembro de 2011,1 de novembro de 2011,Não lançado,Não lançado
Motion Explosion!,-,Artech Digital Entertainment,Majesco Entertainment,1 de novembro de 2011,25 de novembro de 2011,TBA,TBA
MotionSports,-,Ubisoft Milan,Ubisoft,4 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,TBA
MotionSports Adrenaline,-,Longtail Studios,Ubisoft,1 de novembro de 2011,28 de outubro de 2011,TBA,TBA
Motocross Madness,Corrida & Voo,Bongfish,Microsoft Studios,10 de abril de 2013,-,-,-
MotoGP '06,Corrida,Black Rock Studio,THQ,12 de junho de 2006,9 de junho de 2006,12 de outubro de 2006,22 de novembro de 2013
MotoGP '07,Corrida,Black Rock Studio,THQ,27 de agosto de 2007,24 de agosto de 2007,Não lançado,22 de novembro de 2013
MotoGP '08,Corrida,Milestone,Capcom,28 de outubro de 2008,24 de outubro de 2008,Não lançado,22 de novembro de 2013
MotoGP 09/10,Corrida,Monumental Games,Capcom,16 de março de 2010,23 de março de 2010,19 de março de 2010,18 de março de 2010
MotoGP 10/11,Corrida,Monumental Games,Capcom,15 de março de 2011,Não lançado,15 de março de 2011,15 de março de 2011
MotoGP 13,Corrida,Milestone,Milestone,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
MotoGP 14,Corrida,Milestone,Namco Bandai Games,4 de novembro de 2014,4 de novembro de 2014,Não lançado,4 de novembro de 2014
MotoGP 15,Corrida,Milestone,Namco Bandai Games,4 de novembro de 2015,Não lançado,Não lançado,4 de novembro de 2015
Motorcycle Club,Corrida,Kylotonn,Bigben Interactive,Não lançado,6 de março de 2015,Não lançado,Não lançado
Mr. Driller Online,Puzzle & Trivia,Bandai Namco Entertainment,Bandai Namco Entertainment,2 de abril de 2008,-,-,-
Ms. Pac-Man,Clássico,Bandai Namco Entertainment,Bandai Namco Entertainment,10 de janeiro de 2007,-,-,-
Ms. Splosion Man,Plataforma,Twisted Pixel Games,Microsoft Studios,13 de abril de 2011,-,-,-
Mud - FIM Motocross World Championship,Corrida,Namco Bandai Games,Milestone,26 de fevereiro de 2013,26 de fevereiro de 2013,Não lançado,Não lançado
Murdered: Soul Suspect,"Ação & Aventura, Puzzle",Airtight Games,Square Enix,3 de junho de 2014,6 de junho de 2014,4 de setembro de 2014,22 de novembro de 2013
Mushihimesama,-,Cave,Cave,Não lançado,Não lançado,7 de fevereiro de 2012,Não lançado
Mushihime-sama Futari,Shoot 'em up,Cave,Cave,Não lançado,Não lançado,26 de novembro de 2009,22 de novembro de 2013
Mutant Storm Empire,Tiro,PomPom Games,Microsoft Studios,31 de outubro de 2007,-,-,-
Mutant Storm Reloaded,Tiro,PomPom Games,Microsoft Studios,22 de novembro de 2005,-,-,-
MuvLuv,Romance visual,5pb.,5pb.,Não lançado,Não lançado,27 de outubro de 2011,22 de novembro de 2013
MuvLuv Alternative,Romance visual,5pb.,5pb.,Não lançado,Não lançado,27 de outubro de 2011,22 de novembro de 2013
MuvLuv Twin Pack[nota 28],"Romance visual, Compilação",5pb.,5pb.,Não lançado,Não lançado,27 de outubro de 2011,22 de novembro de 2013
MX vs. ATV Alive,Corrida,Rainbow Studios,THQ,29 de novembro de 2012,29 de novembro de 2011,Não lançado,22 de novembro de 2013
MX vs. ATV Reflex,Corrida,Rainbow Studios,THQ,1 de dezembro de 2009,5 de fevereiro de 2010,Não lançado,22 de novembro de 2013
MX vs. ATV: Supercross,Corrida,Rainbow Studios,THQ Nordic GmbH,28 de outubro de 2014,28 de outubro de 2014,28 de outubro de 2014,22 de novembro de 2013
MX vs. ATV: Untamed,Corrida,Rainbow Studios,THQ,17 de dezembro de 2007,7 de março de 2008,Não lançado,22 de novembro de 2013
MXGP,Corrida,Bandai Namco,Milestone,18 de novembro de 2014,18 de novembro de 2014,Não lançado,22 de novembro de 2013
My Horse & Me 2,Corrida,Tate Interactive,Atari,Não lançado,31 de outubro de 2008,Não lançado,Não lançado
MySims SkyHeroes,"Simulador de combate aéreo, Simulação",Maxis,Electronic Arts,28 de setembro de 2010,1 de outubro de 2010,Não lançado,22 de novembro de 2013
N+,Ação & Aventura,Slick Entertainment,Microsoft Studios,20 de fevereiro de 2008,-,-,-
N3: Ninety-Nine Nights,Ação & Hack and slash,"Q Entertainment, Phantagram",Microsoft Game Studios,15 de agosto de 2006,1 de setembro de 2006,20 de abril de 2006,22 de novembro de 2013
N3II: Ninety-Nine Nights,"Hack and slash, RPG eletrônico","Q Entertainment, Feelplus",Microsoft Game Studios,29 de junho de 2010,10 de setembro de 2010,22 de julho de 2010,22 de novembro de 2013
nail'd,Corrida,Techland,Deep Silver,30 de novembro de 2010,4 de fevereiro de 2011,Não lançado,22 de novembro de 2013
Namco Museum Virtual Arcade,Compilação,Namco Bandai Games,Namco Bandai Games,4 de novembro de 2008,15 de maio de 2009,Não lançado,22 de novembro de 2013
Narco Terror,Tiro,Deep Silver,Deep Silver,31 de julho de 2013,-,-,-
Naruto Shippuden: Ultimate Ninja Storm 2,Luta,CyberConnect2,Namco Bandai Games,19 de outubro de 2010,15 de outubro de 2010,21 de outubro de 2010,22 de novembro de 2013
Naruto Shippuden: Ultimate Ninja Storm 3,Luta,CyberConnect2,Namco Bandai Games,8 de março de 2013,5 de março de 2013,18 de fevereiro de 2013,22 de novembro de 2013
Naruto Shippuden: Ultimate Ninja Storm Generations,Luta,CyberConnect2,Namco Bandai Games,13 de março de 2012,30 de março de 2012,23 de fevereiro de 2012,22 de novembro de 2013
Naruto Shippuden: Ultimate Ninja Storm Revolution,Luta,CyberConnect2,Namco Bandai Games,16 de setembro de 2014,12 de setembro de 2014,11 de setembro de 2014,22 de novembro de 2013
Naruto: Rise of a Ninja,"Luta, RPG eletrônico",Ubisoft,Ubisoft,30 de outubro de 2007,21 de novembro de 2007,Não lançado,22 de novembro de 2013
Naruto: The Broken Bond,"Luta, Ação e aventura",Ubisoft Montreal,Ubisoft,18 de novembro de 2008,20 de novembro de 2008,Não lançado,22 de novembro de 2013
NASCAR 08,Corrida,EA Tiburon,EA Sports,23 de julho de 2007,9 de novembro de 2007,Não lançado,22 de novembro de 2013
NASCAR 09,Corrida,EA Tiburon,EA Sports,10 de junho de 2008,13 de junho de 2008,Não lançado,22 de novembro de 2013
NASCAR '14,Corrida,Eutechnyx,Activision,18 de fevereiro de 2014,18 de fevereiro de 2014,Não lançado,22 de novembro de 2013
NASCAR '15,Corrida,704Games Company,Activision,22 de maio de 2015,22 de maio de 2015,Não lançado,22 de novembro de 2013
NASCAR '15 Victory Edition,Corrida,704Games Company,Activision,18 de outubro de 2015,18 de outubro de 2015,Não lançado,22 de novembro de 2013
NASCAR The Game: 2011,Corrida,Eutechnyx,Activision,20 de março de 2011,20 de março de 2011,Não lançado,22 de novembro de 2013
NASCAR The Game: Inside Line,Corrida,Eutechnyx,Activision,6 de novembro de 2012,6 de novembro de 2012,Não lançado,22 de novembro de 2013
NASCAR Unleashed,Corrida,Firebrand Games,Activision,1 de novembro de 2011,1 de novembro de 2011,Não lançado,22 de novembro de 2013
National Geographic Quiz: Wild Life,-,-,-,-,-,-,-
Naughty Bear,Ação,Artificial Mind and Movement,505 Games,29 de junho de 2010,25 de junho de 2010,Não lançado,22 de novembro de 2013
Naughty Bear: Panic in Paradise,Ação & Aventura,Behaviour Interactive,505 Games,10 de outubro de 2012,-,-,-
Naval Assault: The Killing Tide,Simulação,Artech Digital Entertainment,505 Games,15 de junho de 2010,11 de junho de 2010,Não lançado,22 de novembro de 2013
NBA 2K10,Esportes,Visual Concepts,2K Sports,6 de outubro de 2009,6 de outubro de 2009,15 de outubro de 2009,22 de novembro de 2013
NBA 2K10 Draft Combine,Esportes & Recreação,Visual Concepts,2K Sports,26 de agosto de 2009,-,-,-
NBA 2K11,Esportes,Visual Concepts,2K Sports,5 de outubro de 2010,8 de outubro de 2010,14 de outubro de 2010,22 de novembro de 2013
NBA 2K12,Esportes,Visual Concepts,2K Sports,4 de outubro de 2011,7 de outubro de 2011,Não lançado,22 de novembro de 2013
NBA 2K13,Esportes,Visual Concepts,2K Sports,2 de outubro de 2012,5 de outubro de 2012,Não lançado,22 de novembro de 2013
NBA 2K14,Esportes,Visual Concepts,2K Sports,1 de outubro de 2013,3 de outubro de 2013,7 de novembro de 2013,22 de novembro de 2013
NBA 2K15,Esportes,Visual Concepts,2K Sports,7 de outubro de 2014,10 de outubro de 2014,27 de novembro de 2014,22 de novembro de 2014
NBA 2K16,Esportes,Visual Concepts,2K Sports,29 de setembro de 2015,29 de setembro de 2015,29 de setembro de 2015,22 de novembro de 2015
NBA 2K17,Esportes,Visual Concepts,2K Sports,20 de setembro de 2016,20 de setembro de 2016,20 de setembro de 2016,22 de novembro de 2016
NBA 2K18,Esportes,Visual Concepts,2K Sports,15 de setembro de 2017,15 de setembro de 2017,15 de setembro de 2017,15 de setembro de 2017
NBA 2K6,Esportes,Visual Concepts,2K Sports,22 de novembro de 2005[1],28 de abril de 2006,Não lançado,Não lançado
NBA 2K7,Esportes,Visual Concepts,2K Sports,25 de setembro de 2006,3 de novembro de 2006,Não lançado,22 de novembro de 2013
NBA 2K8,Esportes,Visual Concepts,2K Sports,2 de outubro de 2007,2 de novembro de 2007,Não lançado,22 de novembro de 2013
NBA 2K9,Esportes,Visual Concepts,2K Sports,7 de outubro de 2008,3 de outubro de 2008,Não lançado,22 de novembro de 2013
NBA Baller Beats,Ritmo,HB Studios,Majesco Entertainment,11 de setembro de 2012,Não lançado,Não lançado,Não lançado
NBA Ballers: Chosen One,Esportes,Midway Games,Midway Games,21 de abril de 2008,25 de abril de 2008,Não lançado,Não lançado
NBA Jam: On Fire Edition,Esportes & Recreação,EA Sports,Electronic Arts,4 de outubro de 2011,4 de outubro de 2011,Não lançado,Não lançado
NBA Jam,Esportes,EA Canada,EA Sports,17 de novembro de 2010,26 de novembro de 2010,Não lançado,22 de novembro de 2013
NBA Live 06,Esportes,EA Canada,EA Sports,22 de novembro de 2005[1],2 de dezembro de 2005,19 de janeiro de 2006,Não lançado
NBA Live 07,Esportes,EA Canada,EA Sports,25 de setembro de 2006,20 de outubro de 2006,22 de novembro de 2006,22 de novembro de 2013
NBA Live 08,Esportes,EA Canada,EA Sports,2 de outubro de 2007,5 de outubro de 2007,8 de novembro de 2007,22 de novembro de 2013
NBA Live 09,Esportes,EA Canada,EA Sports,7 de outubro de 2008,10 de outubro de 2008,23 de outubro de 2008,22 de novembro de 2013
NBA Live 10,Esportes,EA Canada,EA Sports,6 de outubro de 2009,16 de outubro de 2009,5 de novembro de 2009,22 de novembro de 2013
NBA Street Homecourt,Esportes,EA Canada,EA Sports,20 de fevereiro de 2007,23 de março de 2007,24 de maio de 2007,22 de novembro de 2013
NBA Unrivaled,Esportes & Recreação,A.C.R.O.N.Y.M. Games,Tecmo,11 de novembro de 2009,-,-,-
NCAA Basketball 09[nota 29],Esportes,EA Canada,EA Sports,17 de novembro de 2008,17 de novembro de 2008,Não lançado,22 de novembro de 2013
NCAA Basketball 10,Esportes,EA Canada,EA Sports,18 de novembro de 2009,18 de novembro de 2009,Não lançado,22 de novembro de 2013
NCAA Basketball 09: March Madness Edition,Esportes & Recreação,EA Canada,Electronic Arts,11 de março de 2009,-,-,-
NCAA Football 07,Esportes,EA Tiburon,EA Sports,18 de julho de 2006,18 de julho de 2006,Não lançado,22 de novembro de 2013
NCAA Football 08,Esportes,EA Tiburon,EA Sports,17 de julho de 2007,17 de julho de 2007,Não lançado,22 de novembro de 2013
NCAA Football 09,Esportes,EA Tiburon,EA Sports,15 de julho de 2008,15 de julho de 2008,Não lançado,22 de novembro de 2013
NCAA Football 10,Esportes,EA Tiburon,EA Sports,14 de julho de 2009,14 de julho de 2009,Não lançado,22 de novembro de 2013
NCAA Football 11,Esportes,EA Tiburon,EA Sports,13 de julho de 2010,13 de julho de 2010,Não lançado,22 de novembro de 2013
NCAA Football 12,Esportes,EA Tiburon,EA Sports,12 de julho de 2011,12 de julho de 2011,Não lançado,22 de novembro de 2013
NCAA Football 13,Esportes,EA Tiburon,EA Sports,10 de julho de 2012,10 de julho de 2012,Não lançado,22 de novembro de 2013
NCAA Football 14,Esportes,EA Tiburon,EA Sports,9 de julho de 2013,9 de julho de 2013,Não lançado,22 de novembro de 2013
NCAA March Madness 07,Esportes,EA Canada,EA Sports,17 de janeiro de 2007,17 de janeiro de 2007,Não lançado,22 de novembro de 2013
NCAA March Madness 08,Esportes,EA Canada,EA Sports,11 de dezembro de 2007,11 de dezembro de 2007,Não lançado,22 de novembro de 2013
NCIS : The Game,Aventura,Ubisoft,Ubisoft,1 de novembro de 2011,28 de outubro de 2011,Não lançado,22 de novembro de 2013
Need for Speed: Carbon,Corrida,EA Black Box,Electronic Arts,31 de outubro de 2006,3 de novembro de 2006,21 de dezembro de 2006,22 de novembro de 2013
Need for Speed: Hot Pursuit,Corrida,Criterion Games,Electronic Arts,16 de novembro de 2010,19 de novembro de 2010,9 de dezembro de 2010,22 de novembro de 2013
Need for Speed: Most Wanted,Corrida,EA Black Box,Electronic Arts,22 de novembro de 2005[1],2 de dezembro de 2005,10 de dezembro de 2005,Não lançado
Need for Speed: Most Wanted,Corrida,Criterion Games,Electronic Arts,30 de novembro de 2012,2 de novembro de 2012,15 de novembro de 2012,22 de novembro de 2013
Need for Speed: ProStreet,Corrida,EA Black Box,Electronic Arts,14 de novembro de 2007,23 de novembro de 2007,19 de março de 2008,22 de novembro de 2013
Need for Speed: Rivals,Corrida,Ghost Games,Electronic Arts,13 de novembro de 2013,13 de novembro de 2013,13 de novembro de 2013,22 de novembro de 2013
Need for Speed: Shift,Corrida,Slightly Mad Studios,Electronic Arts,15 de setembro de 2009,17 de setembro de 2009,17 de setembro de 2009,22 de novembro de 2013
Need for Speed: The Run,Corrida,EA Black Box,Electronic Arts,15 de novembro de 2011,18 de novembro de 2011,8 de dezembro de 2011,22 de novembro de 2013
Need for Speed: Undercover,Corrida,EA Black Box,Electronic Arts,18 de novembro de 2008,21 de novembro de 2008,18 de dezembro de 2008,22 de novembro de 2013
NeoGeo Battle Coliseum,Clássico,SNK,SNK,9 de junho de 2010,-,-,-
NeverDead,Ação,Rebellion Developments,Konami,31 de janeiro de 2012,3 de fevereiro de 2012,2 de fevereiro de 2012,22 de novembro de 2013
New Rally-X,Clássico,Bandai Namco Entertainment,Bandai Namco Entertainment,27 de dezembro de 2006,-,-,-
Nexuiz,Tiro,IllFonic,THQ,29 de fevereiro de 2012,-,-,-
NFL Blitz,Esportes & Recreação,EA Tiburon,Electronic Arts,4 de janeiro de 2012,-,-,-
NFL Head Coach 09,Gestão desportiva,EA Tiburon,EA Sports,3 de setembro de 2008,3 de setembro de 2008,Não lançado,22 de novembro de 2013
NFL Tour,Esportes,EA Tiburon,EA Sports,8 de janeiro de 2008,1 de fevereiro de 2008,Não lançado,22 de novembro de 2013
NHL 07,Esportes,EA Canada,EA Sports,12 de setembro de 2006,22 de setembro de 2006,Não lançado,22 de novembro de 2013
NHL 08,Esportes,EA Canada,EA Sports,11 de setembro de 2007,21 de setembro de 2007,Não lançado,22 de novembro de 2013
NHL 09,Esportes,EA Canada,EA Sports,9 de setembro de 2008,12 de setembro de 2008,Não lançado,22 de novembro de 2013
NHL 10,Esportes,EA Canada,EA Sports,15 de setembro de 2009,18 de setembro de 2009,Não lançado,22 de novembro de 2013
NHL 11,Esportes,EA Canada,EA Sports,7 de setembro de 2010,17 de setembro de 2010,Não lançado,22 de novembro de 2013
NHL 12,Esportes,EA Canada,EA Sports,13 de setembro de 2011,9 de setembro de 2011,Não lançado,22 de novembro de 2013
NHL 13,Esportes,EA Canada,EA Sports,11 de setembro de 2012,11 de setembro de 2012,Não lançado,22 de novembro de 2013
NHL 14,Esportes,EA Canada,EA Sports,10 de setembro de 2013,13 de setembro de 2013,Não lançado,22 de novembro de 2013
NHL 15,Esportes,EA Canada,EA Sports,9 de setembro de 2014,12 de setembro de 2014,Não lançado,22 de novembro de 2013
